,soc
1210,6.08
1211,6.07
1212,6.07
1213,6.07
1214,6.06
1215,6.06
1216,6.06
1217,6.06
1218,6.05
1219,6.05
1220,6.05
1221,6.05
1222,6.04
1223,6.04
1224,6.03
1225,6.03
1226,6.02
1227,6.02
1228,6.02
1229,6.02
1230,6.01
1231,6.01
1232,6.01
1233,6
1234,6
1235,5.99
1236,5.98
1237,5.98
1238,5.97
1239,5.96
1240,5.96
1241,5.96
1242,5.96
1243,5.96
1244,5.95
1245,5.95
1246,5.95
1247,5.95
1248,5.94
1249,5.94
1250,5.94
1251,5.92
1252,5.92
1253,5.92
1254,5.91
1255,5.91
1256,5.91
1257,5.91
1258,5.91
1259,5.9
1260,5.9
1261,5.9
1262,5.89
1263,5.89
1264,5.89
1265,5.88
1266,5.88
1267,5.87
1268,5.86
1269,5.85
1270,5.85
1271,5.85
1272,5.85
1273,5.84
1274,5.84
1275,5.83
1276,5.83
1277,5.83
1278,5.83
1279,5.83
1280,5.83
1281,5.83
1282,5.83
1283,5.82
1284,5.82
1285,5.82
1286,5.81
1287,5.81
1288,5.81
1289,5.8
1290,5.8
1291,5.8
1292,5.8
1293,5.8
1294,5.8
1295,5.79
1296,5.78
1297,5.78
1298,5.78
1299,5.78
1300,5.78
1301,5.77
1302,5.77
1303,5.77
1304,5.76
1305,5.76
1306,5.75
1307,5.75
1308,5.75
1309,5.75
1310,5.75
1311,5.74
1312,5.74
1313,5.74
1314,5.74
1315,5.73
1316,5.73
1317,5.73
1318,5.73
1319,5.73
1320,5.72
1321,5.72
1322,5.72
1323,5.72
1324,5.71
1325,5.71
1326,5.7
1327,5.7
1328,5.7
1329,5.7
1330,5.69
1331,5.69
1332,5.69
1333,5.68
1334,5.68
1335,5.67
1336,5.67
1337,5.67
1338,5.67
1339,5.67
1340,5.66
1341,5.66
1342,5.65
1343,5.65
1344,5.65
1345,5.65
1346,5.64
1347,5.63
1348,5.63
1349,5.63
1350,5.62
1351,5.62
1352,5.62
1353,5.62
1354,5.61
1355,5.61
1356,5.6
1357,5.6
1358,5.59
1359,5.57
1360,5.57
1361,5.57
1362,5.57
1363,5.57
1364,5.56
1365,5.56
1366,5.56
1367,5.56
1368,5.55
